Segment,Rank,Cam Master,Cam Slave,MPJPE (mm),PA-MPJPE (mm),Avg Score,local_belief Master,local_belief Slave,Old MPJPE,Old PA-MPJPE,Delta_MPJPE,Delta_PA-MPJPE,MPJPE_head,MPJPE_left_ankle,MPJPE_left_elbow,MPJPE_left_hip,MPJPE_left_knee,MPJPE_left_shoulder,MPJPE_left_wrist,MPJPE_right_ankle,MPJPE_right_elbow,MPJPE_right_hip,MPJPE_right_knee,MPJPE_right_shoulder,MPJPE_right_wrist,PA-MPJPE_head,PA-MPJPE_left_ankle,PA-MPJPE_left_elbow,PA-MPJPE_left_hip,PA-MPJPE_left_knee,PA-MPJPE_left_shoulder,PA-MPJPE_left_wrist,PA-MPJPE_right_ankle,PA-MPJPE_right_elbow,PA-MPJPE_right_hip,PA-MPJPE_right_knee,PA-MPJPE_right_shoulder,PA-MPJPE_right_wrist
seg_4,18,cam5,cam8,94.95,51.95,73.45,0.88,0.88,94.92,52.03,-0.03,0.08,84.15,88.44,119.57,67.01,119.28,72.90,116.60,67.86,128.93,67.01,101.62,94.85,106.14,24.15,31.08,43.28,96.58,49.86,55.10,54.58,26.63,52.72,108.14,47.00,44.73,41.55
seg_4,19,cam8,cam2,96.19,50.86,73.53,0.88,0.91,96.19,50.86,0.00,0.00,94.91,85.65,119.51,68.31,122.52,76.18,114.02,66.40,125.85,68.31,99.62,101.36,107.88,16.47,28.77,41.37,100.03,52.99,54.52,48.45,33.52,50.81,105.58,44.38,46.10,38.17
seg_4,20,cam5,cam4,95.69,51.79,73.74,0.88,0.90,94.92,52.03,-0.77,0.24,83.80,88.44,119.58,67.01,119.28,72.90,119.70,67.86,129.32,67.01,101.62,94.85,112.60,23.69,30.55,42.51,96.51,49.39,55.38,56.01,26.83,51.04,109.68,48.08,45.23,38.36
seg_4,21,cam8,cam7,96.51,51.40,73.95,0.88,0.91,96.19,50.86,-0.32,-0.54,94.91,85.65,119.76,68.31,122.52,76.18,118.64,66.40,125.67,68.31,99.62,101.36,107.34,16.84,29.09,41.79,100.12,53.15,55.14,52.79,33.61,51.10,105.67,44.51,45.83,38.60
seg_4,22,cam5,cam0,95.65,52.34,74.00,0.88,0.89,94.86,52.00,-0.79,-0.34,83.65,88.46,119.01,66.95,119.39,72.93,119.12,68.06,129.23,66.95,101.68,95.07,112.97,22.73,30.95,42.56,96.68,48.81,53.79,55.12,26.92,52.47,109.20,49.73,46.69,44.76
seg_4,23,cam8,cam5,96.78,51.29,74.03,0.88,0.88,96.19,50.86,-0.59,-0.43,94.91,93.31,119.51,68.31,122.52,76.18,114.02,66.40,125.85,68.31,99.62,101.36,107.88,17.50,32.72,41.53,100.03,51.06,55.32,49.41,31.40,51.77,105.23,46.68,45.35,38.70
seg_4,24,cam8,cam4,97.53,50.84,74.19,0.88,0.90,96.19,50.86,-1.34,0.02,94.91,85.65,119.69,68.31,122.52,76.18,119.25,70.93,126.42,68.31,101.39,101.36,112.99,19.74,22.44,41.81,97.79,54.62,54.61,57.09,23.37,48.78,108.60,43.78,48.67,39.66
seg_4,25,cam0,cam2,99.83,49.57,74.70,0.89,0.91,101.51,51.06,1.68,1.49,94.68,95.93,109.27,71.87,128.40,86.27,108.23,70.24,131.23,71.87,117.48,98.24,114.04,11.05,37.11,31.86,106.05,50.77,46.66,33.18,23.64,55.97,108.06,56.05,46.63,37.41
seg_4,26,cam8,cam0,98.40,52.23,75.31,0.88,0.89,96.06,50.81,-2.34,-1.42,94.71,85.14,119.17,68.23,122.38,76.22,114.87,71.38,133.66,68.23,100.06,101.39,123.74,16.89,26.95,40.33,100.34,52.52,53.51,48.21,33.74,56.13,108.07,43.38,49.72,49.20
seg_4,27,cam0,cam4,100.95,50.02,75.48,0.89,0.90,101.48,51.00,0.53,0.98,94.66,87.74,119.85,71.99,128.52,86.16,119.20,70.39,131.44,71.99,117.35,98.25,114.86,9.90,23.40,40.70,105.12,53.18,47.88,49.03,19.60,54.14,111.31,52.15,45.88,37.98
seg_4,28,cam0,cam7,100.37,50.64,75.50,0.89,0.91,101.51,51.06,1.14,0.42,94.68,95.44,110.31,71.87,128.50,86.27,113.54,71.40,131.26,71.87,117.48,98.24,113.91,13.82,37.78,32.22,103.72,50.60,46.81,44.25,25.24,58.22,109.80,51.98,43.74,40.09
seg_4,29,cam0,cam8,101.45,50.96,76.20,0.89,0.88,101.48,51.00,0.03,0.04,94.66,95.21,119.81,71.99,128.52,86.16,120.01,69.40,131.27,71.99,117.31,98.25,114.27,10.29,32.92,38.79,107.43,49.97,49.28,46.38,24.48,55.58,109.57,55.26,43.84,38.65
seg_4,30,cam0,cam5,101.75,51.20,76.47,0.89,0.88,101.48,51.00,-0.27,-0.20,94.66,95.26,119.83,71.99,128.52,86.16,122.26,70.39,131.26,71.99,117.35,98.66,114.36,9.97,34.34,38.76,107.35,50.15,49.00,48.28,25.14,55.14,110.11,54.31,44.58,38.41
seg_4,31,cam0,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,32,cam0,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,33,cam0,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,34,cam1,cam0,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,35,cam1,cam2,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,36,cam1,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,37,cam1,cam4,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,38,cam1,cam5,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,39,cam1,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,40,cam1,cam7,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,41,cam1,cam8,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,42,cam2,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,43,cam2,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,44,cam2,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,45,cam3,cam0,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,46,cam3,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,47,cam3,cam2,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,48,cam3,cam4,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
